benchmark,k,mean_power,ci_lo_95,ci_hi_95,r2_obs,r2_shift,power_shifted
HumanEval,11,0.522,0.5001,0.5439,0.0299,lo,0.526
HumanEval,11,0.522,0.5001,0.5439,0.0299,hi,0.514
HumanEval,12,0.553,0.5312,0.5748,0.0299,lo,0.526
HumanEval,12,0.553,0.5312,0.5748,0.0299,hi,0.582
HumanEval,13,0.575,0.5533,0.5967,0.0299,lo,0.584
HumanEval,13,0.575,0.5533,0.5967,0.0299,hi,0.578
HumanEval,14,0.579,0.5574,0.6006,0.0299,lo,0.598
HumanEval,14,0.579,0.5574,0.6006,0.0299,hi,0.58
HumanEval,15,0.609,0.5876,0.6304,0.0299,lo,0.616
HumanEval,15,0.609,0.5876,0.6304,0.0299,hi,0.62
HumanEval,16,0.6245,0.6033,0.6457,0.0299,lo,0.65
HumanEval,16,0.6245,0.6033,0.6457,0.0299,hi,0.632
HumanEval,17,0.6785,0.658,0.699,0.0299,lo,0.654
HumanEval,17,0.6785,0.658,0.699,0.0299,hi,0.644
HumanEval,18,0.683,0.6626,0.7034,0.0299,lo,0.66
HumanEval,18,0.683,0.6626,0.7034,0.0299,hi,0.716
HumanEval,19,0.6965,0.6763,0.7167,0.0299,lo,0.722
HumanEval,19,0.6965,0.6763,0.7167,0.0299,hi,0.7
HumanEval,20,0.7115,0.6916,0.7314,0.0299,lo,0.736
HumanEval,20,0.7115,0.6916,0.7314,0.0299,hi,0.716
IFEval,2,0.7085,0.6886,0.7284,0.1388,lo,0.742
IFEval,2,0.7085,0.6886,0.7284,0.1388,hi,0.75
IFEval,3,0.6995,0.6794,0.7196,0.1388,lo,0.688
IFEval,3,0.6995,0.6794,0.7196,0.1388,hi,0.7
IFEval,4,0.817,0.8001,0.8339,0.1388,lo,0.788
IFEval,4,0.817,0.8001,0.8339,0.1388,hi,0.818
IFEval,5,0.8905,0.8768,0.9042,0.1388,lo,0.886
IFEval,5,0.8905,0.8768,0.9042,0.1388,hi,0.918
IFEval,6,0.9315,0.9204,0.9426,0.1388,lo,0.942
IFEval,6,0.9315,0.9204,0.9426,0.1388,hi,0.934
IFEval,7,0.962,0.9536,0.9704,0.1388,lo,0.952
IFEval,7,0.962,0.9536,0.9704,0.1388,hi,0.964
IFEval,8,0.985,0.9797,0.9903,0.1388,lo,0.962
IFEval,8,0.985,0.9797,0.9903,0.1388,hi,0.972
IFEval,9,0.99,0.9856,0.9944,0.1388,lo,0.994
IFEval,9,0.99,0.9856,0.9944,0.1388,hi,0.992
IFEval,10,0.9955,0.9926,0.9984,0.1388,lo,0.992
IFEval,10,0.9955,0.9926,0.9984,0.1388,hi,1.0
IFEval,11,0.9975,0.9953,0.9997,0.1388,lo,0.998
IFEval,11,0.9975,0.9953,0.9997,0.1388,hi,0.996
IFEval,12,0.998,0.996,1.0,0.1388,lo,0.996
IFEval,12,0.998,0.996,1.0,0.1388,hi,0.998
